Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
France,..,..,..,..,..,"2,503","2,530","2,770","3,670","4,380","5,070","4,670","4,340","4,110","3,840","4,170","5,150","5,760","6,393","5,571","6,956","7,020","8,154","7,429","4,282","4,941","4,464","4,000","4,230","4,080","3,770","3,950","3,810","4,390","4,260","9,475","10,281","11,947","13,269","11,757","12,029","12,849","12,526","13,418","13,325"
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61,51,46,47,51,56,69,64,71,56,58,65,..
Gabon,..,..,..,..,..,..,..,..,70,141,144,84,79,92,89,104,165,147,154,128,147,118,145,197,156,99,113,104,89,85,78,96,96,116,110,186,..,..,..,..,..,..,..,..,..
"Gambia, The",..,..,..,..,..,..,..,..,3,3,..,..,2,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,15,3,8,58,37,48,..,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,11,47,25,24,26,29,26,27,27,32,51,34,55,77,87,88,86
Germany,..,"2,237","2,726","3,687","4,020","4,094","4,171","4,260","5,190","5,720","5,826","4,794","4,481","4,291","4,042","3,601","4,632","5,534","5,872","5,485","6,854","6,895","8,586","8,513","9,279","11,356","11,029","9,885","9,503","10,520","9,039","9,445","10,403","11,886","13,003","12,710","12,700","14,082","15,234","15,324","14,685","16,566","15,533","19,870","20,836"
Ghana,..,..,..,..,..,..,..,..,..,16,9,10,6,13,14,11,4,3,3,4,4,5,4,4,5,5,5,5,6,6,6,6,..,..,..,..,..,..,..,..,..,..,7,4,..
Greece,..,..,..,..,..,..,45,55,55,59,59,65,64,77,58,45,60,77,95,118,122,118,173,250,222,300,319,342,..,631,546,536,412,380,497,902,982,"1,460","1,912","1,843","1,932","1,941","1,438","1,291","1,424"
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,..,..,..,..,..,..,..,..,..,..,3,5,5,4,..,..,7,7,8,0,1,1,1,1,1,1,..,2,3,3,3,3,3,3,3,1,1,2,2,1,2,2,2,2,..
Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,..,..,..,..,..,..,..,8,7,8,11,7,3,3,7,6,6,8,6,9,14,19,20,9,11,8,13,21,33,27,56,32,82,86,34,42,46,17,26,22,21,27,28,28,25
Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,20,18,20,21,22,20,22,10,11,14,23,18,27,37,18,46,48,60,52,39,56,45,41,39,51,81,..
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,19,13,6,4,12,12,10,16,12,20,15,15,13,3,..,..,..,..,..,..,5,6,5,5,4,4,17,20,20,30,25,..,..
Guyana,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,5,11,11,12,23,18,22,27,27,24,53,50,81,55,48,61,72,86,128,138,184,123,..
Haiti,..,5,3,8,10,39,45,44,47,51,54,62,47,43,45,47,53,57,61,63,..,..,..,..,..,..,..,..,..,..,11,19,22,31,39,60,76,96,117,135,167,240,232,248,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,10,1,1,9,12,11,12,17,0,2,2,37,27,27,33,36,41,..
"Hong Kong SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175,167,225,309,299,317,321,348,377,388,393,413,483,554,607,656,712
Hungary,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,146,94,86,75,98,86,101,107,114,814,912,981,"1,367","1,526","1,192","1,133","1,195","1,054",989,978
Iceland,..,..,..,..,..,..,0,2,4,5,6,5,5,4,6,5,7,17,17,17,25,26,25,21,18,20,15,17,18,23,31,17,23,26,47,54,82,115,101,68,67,73,68,74,102
India,..,..,..,..,..,..,9,12,57,10,29,15,14,40,27,31,42,65,93,99,106,52,68,259,351,419,538,162,44,36,486,751,"1,187","1,265","1,653","1,348","1,562","2,059","3,812","2,890","3,829","4,078","4,963","6,413","6,222"
Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,913,"1,179","1,359","1,654","1,971","2,702","2,840","3,164","3,634","3,951",..
"Iran, Islamic Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83,781,17,31,27,48,78,548,..,..
Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87,62,93,195,152,127,165,168,177,160,162,173,179,170,166,121,181,274,588,788,997,"1,441","1,853","2,520","2,672","2,549","2,267","2,194","1,996","1,958",..
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,11,11,6,6,9,20,14,8,18,15,31,38,453,512,499,410,553,751,749,731,850,795,"1,120",908,919,"1,410","2,030","2,400","2,870","3,080","3,260","3,040","2,780","2,500","2,220","2,206","2,335","2,798","3,636","3,421","3,727","4,347","4,381","5,025",..
Italy,106,108,127,175,198,247,208,243,304,350,428,446,517,502,500,606,795,"1,286","1,926","2,700","3,764","2,781","2,686","2,533","2,234","1,823","2,083","2,168","2,375","2,553","2,582","2,716","3,582","4,367","5,513","7,546","8,352","11,182","3,695","3,437","2,866","2,726","1,975","2,713","2,508"
Jamaica,..,..,..,..,..,..,41,35,35,38,35,35,32,37,39,58,42,40,23,24,27,27,29,27,55,74,96,117,134,150,179,217,278,342,425,369,358,396,365,269,279,305,334,307,299
Japan,..,..,..,..,..,..,..,130,160,200,220,240,330,320,290,..,..,..,..,..,..,"1,300","1,370","1,580","1,580","1,820","3,556","3,624","3,399","3,539","3,169","2,944","3,345","1,773","1,411","1,150","3,332","3,639","4,548","3,932","4,366","4,536","4,043","2,872","4,215"
Jordan,..,..,..,..,..,..,20,46,65,80,154,158,177,201,254,236,247,184,155,91,71,61,86,78,93,107,100,200,207,204,197,193,194,227,272,349,402,479,472,502,495,439,460,457,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,504,422,522,471,356,440,487,595,802,"1,354","1,893","2,958","4,212","3,462","2,934","3,006","3,409","3,764","3,782",..
Kenya,..,..,..,..,..,6,17,13,23,18,13,13,11,11,7,6,7,9,8,3,7,4,7,..,7,9,9,46,71,26,..,5,6,7,34,56,25,16,64,61,19,26,15,16,171
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,3,3,3,5,6,6,..,..
"Korea, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",..,..,..,..,..,..,1,2,3,4,58,33,27,21,37,27,37,34,155,822,"1,026","1,274","1,409","1,180","1,356","2,062","2,900","2,796","1,682","2,492","3,651","4,499","5,844","7,932","8,306","6,667","7,215","7,723","7,545","7,153","9,123","9,586","9,380","8,991","9,549"
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,172,162,120,96,127,156,127,151,118,97,..
Kuwait,..,..,..,..,..,276,315,370,433,532,692,689,875,865,963,"1,040","1,080","1,100","1,180","1,280",770,426,829,"1,230","1,330","1,350","1,380","1,380","1,610","1,730","1,730","1,790","1,930","2,140","2,400","2,648","3,183","9,764","10,323","11,749","12,126","13,421","15,874","15,938","18,892"
Kyrgyz Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,109,66,41,33,29,50,51,45,55,57,55,83,53,68,90,101,107,168,228,286,390,455
Lao PDR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,1,9,10,7,7,0,0,0,0,1,1,1,5,6,9,22,19,76,70,69,..
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,2,1,2,5,8,8,7,8,8,8,13,20,30,45,58,46,46,50,70,73,66
Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,521","4,077","4,230","4,012","3,445","2,962","4,366","5,749","4,390","4,227","4,208","4,659",..
Lesotho,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,60,56,56,34,10,10,8,10,11,..,..,..,..,..,..,..,..,..,..
Liberia,..,..,..,..,..,..,..,..,..,35,32,33,75,126,121,102,136,126,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,1,1,1,471,435,..
Libya,..,..,..,..,..,..,..,840,932,832,"1,050","1,530","1,580","2,030","1,240",859,490,466,497,472,446,409,394,324,283,222,272,192,208,213,463,683,786,676,975,914,945,762,964,"1,361","1,609",650,"1,971","3,199",..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,1,1,33,58,63,47,38,29,31,42,28,259,426,567,652,679,552,"1,026","1,135",852,905
Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,220","2,300","2,220","2,460","2,700","2,720","3,140","3,953","5,011","6,002","6,699","7,561","9,370","11,030","10,680","10,603","11,692","11,265","12,267","12,548"
