DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Quisqueyana,Money Transfer Operator,Cash to cash,Same day,200,1.44,500,1.44,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,BHD Remesas Dominicana,Money Transfer Operator,Cash to account,Next day,200,2.5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,BHD Remesas Dominicana,Money Transfer Operator,Cash to cash,Same day,200,2.5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Citibank,Bank,Cash to account,Next day,200,2.5,500,1,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Citibank,Bank,Cash to cash,Next day,200,4,500,1.6,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Ria,Money Transfer Operator,Cash to account,Same day,200,4,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Ria,Money Transfer Operator,Cash to cash,Less than one hour,200,4,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Ria,Money Transfer Operator,Door to door,Same day,200,4,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Viamericas,Money Transfer Operator,LCU service,2 days,200,4,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Viamericas,Money Transfer Operator,USD service,2 days,200,4,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Cibao,Money Transfer Operator,Cash to account,Next day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Cibao,Money Transfer Operator,Cash to cash,Same day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Cash to account,Next day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Cash to cash,Less than one hour,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Door to door,Same day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,3-5 days,200,5,500,3,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Quisqueyana,Money Transfer Operator,Cash to account,Next day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Quisqueyana,Money Transfer Operator,Door to door,Same day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Quisqueyana,Money Transfer Operator,USD service,Same day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Remesas Pujols,Money Transfer Operator,Cash to account,Next day,200,5,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Remesas Pujols,Money Transfer Operator,Cash to cash,Same day,200,5,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Remesas Pujols,Money Transfer Operator,Door to door,Same day,200,5,500,4,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Vigo,Money Transfer Operator,Cash to account,Same day,200,5,500,2,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Vigo,Money Transfer Operator,Cash to cash,Less than one hour,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Vigo,Money Transfer Operator,Door to door,Same day,200,5,500,2,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Western Union,Money Transfer Operator,Cash to cash,Next day,200,5,500,5,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Cash to cash,Less than one hour,200,5.56,500,4.36,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Cibao,Money Transfer Operator,Cash to account,Next day,200,5.88,500,5.88,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Cibao,Money Transfer Operator,Cash to cash,Same day,200,5.88,500,5.88,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Ria,Money Transfer Operator,Cash to cash,Less than one hour,200,5.92,500,5.92,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Ria,Money Transfer Operator,Door to door,Same day,200,5.92,500,5.92,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,BHD Remesas Dominicana,Money Transfer Operator,Cash to account,Next day,200,6.57,500,6.07,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,BHD Remesas Dominicana,Money Transfer Operator,Cash to cash,Same day,200,6.57,500,6.07,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,Less than one hour,200,7,500,6.2,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Vigo,Money Transfer Operator,Cash to cash,Less than one hour,200,7.06,500,7.06,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Vigo,Money Transfer Operator,Door to door,Same day,200,7.06,500,5.26,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Door to door,Next day,200,7.56,500,4.56,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,3-5 days,200,7.56,500,5.56,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Remesas Pujols,Money Transfer Operator,Cash to account,Next day,200,7.59,500,6.59,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Remesas Pujols,Money Transfer Operator,Cash to cash,Same day,200,7.59,500,6.59,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Western Union,Money Transfer Operator,Cash to cash,Less than one hour,200,8,500,8,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Cash to account,Next day,200,8.41,500,8.41,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Cash to cash,Less than one hour,200,8.41,500,8.41,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Door to door,Same day,200,8.41,500,8.41,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Citibank,Bank,Cash to account,Next day,200,8.69,500,7.19,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,Less than one hour,200,9.56,500,8.76,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Cash to account,Next day,200,9.96,500,9.06,,26/Jan/2011,USADOM
